UnitCode,ParkName,Date,Comments,Year,MonthName,MonthNumber,Prompt,WordCount,TokenCount,CharacterCount,Output
CHIC,Chickasaw NRA,2012-03-01,"Cold Springs, Central, Guy Sandy & Buckhorn Loops A, B, C campgrounds all still closed.  Guy Sandy State Ramp was closed for first half of the month.",2012,March,3,"Comment for March:
Cold Springs, Central, Guy Sandy & Buckhorn Loops A, B, C campgrounds all still closed.  Guy Sandy State Ramp was closed for first half of the month.",30,41,168,"March: Cold Springs, Central, Guy Sandy & Buckhorn Loops A, B, C campgrounds were closed, along with Guy Sandy State Ramp for the first half of the month."
CHIC,Chickasaw NRA,2012-04-01,Buckhorn Loop A & B and Guy Sandy campgrounds closed; Buckhorn Loop C opened 4/27; Cold Springs  and Central campgrounds opened 4/23.,2012,April,4,"Comment for April:
Buckhorn Loop A & B and Guy Sandy campgrounds closed; Buckhorn Loop C opened 4/27; Cold Springs  and Central campgrounds opened 4/23.",25,41,152,"April: Buckhorn Loop A & B and Guy Sandy campgrounds were closed for the majority of the month, with Buckhorn Loop C opening on 4/27. Cold Springs and Central campgrounds opened on 4/23."
CHIC,Chickasaw NRA,2012-06-01,"Following machines broken...   Missing one week of data:  Cedar Blue, Hwy 177 and                              SW Perimeter Road   Missing two weeks of data: SE Perimeter Road and West                              Hunting Area",2012,June,6,"Comment for June:
Following machines broken...   Missing one week of data:  Cedar Blue, Hwy 177 and                              SW Perimeter Road   Missing two weeks of data: SE Perimeter Road and West                              Hunting Area",31,44,244,"June: Cedar Blue, Hwy 177, SW Perimeter Road, SE Perimeter Road, and West Hunting Area were reported as closed for varying durations due to broken machines."
CHIC,Chickasaw NRA,2008-10-01,"Guy Sandy, Buckhorn Loops A&B, Central and Cold Springs Campgrounds closed. Oct 18: Candlelight Tour in conjunction with historic home tour and downtown merchants staying open for extended hours.",2008,October,10,"Comment for October:
Guy Sandy, Buckhorn Loops A&B, Central and Cold Springs Campgrounds closed. Oct 18: Candlelight Tour in conjunction with historic home tour and downtown merchants staying open for extended hours.",32,44,216,"October: Guy Sandy, Buckhorn Loops A&B, Central and Cold Springs Campgrounds were reported as closed."
CHIC,Chickasaw NRA,2008-02-01,"The following campgrounds closed:  Guy Sandy, the Point, Buckhorn Loops A, B, & C, Central & Cold Springs. Goddard Youth Closed State Launch Ramp closed due to construction",2008,February,2,"Comment for February:
The following campgrounds closed:  Guy Sandy, the Point, Buckhorn Loops A, B, & C, Central & Cold Springs. Goddard Youth Closed State Launch Ramp closed due to construction",31,45,194,"February: Campgrounds Guy Sandy, the Point, Buckhorn Loops A, B, & C, Central & Cold Springs, and Goddard Youth Closed State Launch Ramp were reported as closed due to construction."
CHIC,Chickasaw NRA,2012-10-01,"CNRA areas closed are:   Guy Sandy Campground, State Boat Launch;  Buckhorn Loop A and Loop B campgrounds.    Cold Springs and Central campgrounds are also closed.  Guy Sandy West traffic counter was stolen.",2012,October,10,"Comment for October:
CNRA areas closed are:   Guy Sandy Campground, State Boat Launch;  Buckhorn Loop A and Loop B campgrounds.    Cold Springs and Central campgrounds are also closed.  Guy Sandy West traffic counter was stolen.",35,51,228,"October: Guy Sandy Campground, State Boat Launch, Buckhorn Loop A and Loop B campgrounds, Cold Springs, and Central campgrounds are closed. Guy Sandy West traffic counter was stolen."
FRHI,Friendship Hill NHS,2009-10-01,Nothing remarkable to effect visitation this month.,2009,October,10,"Comment for October:
Nothing remarkable to effect visitation this month.",10,13,72,October: No Closures.
FRHI,Friendship Hill NHS,2017-02-01,Gallatin House is still closed Mondays thru Fridays on winter schedule.,2017,February,2,"Comment for February:
Gallatin House is still closed Mondays thru Fridays on winter schedule.",14,18,93,February: Gallatin House is closed Mondays through Fridays on a winter schedule.
FRHI,Friendship Hill NHS,2017-11-01,Gallatin House only open Saturdays and Sundays during the winter season.,2017,November,11,"Comment for November:
Gallatin House only open Saturdays and Sundays during the winter season.",14,18,94,November: Gallatin House is closed except for Saturdays and Sundays during the winter season.
FRHI,Friendship Hill NHS,2023-09-01,Whiskey Rebellion program and encampment held September 2 and 3.,2023,September,9,"Comment for September:
Whiskey Rebellion program and encampment held September 2 and 3.",13,20,87,September: No Closures.
FRHI,Friendship Hill NHS,2009-11-01,Winter Hours have begun and the Gallatin House was closed 22 days this month.,2009,November,11,"Comment for November:
Winter Hours have begun and the Gallatin House was closed 22 days this month.",17,21,99,November: Gallatin House was closed for 22 days.
FRHI,Friendship Hill NHS,2017-01-01,The Gallatin House is still on our winter schedule of being open Saturdays and Sundays only.,2017,January,1,"Comment for January:
The Gallatin House is still on our winter schedule of being open Saturdays and Sundays only.",19,22,113,January: No Closures.
FRHI,Friendship Hill NHS,2023-04-01,Gallatin House open weekends only during this month. Park grounds and trails open daily during daylight hours,2023,April,4,"Comment for April:
Gallatin House open weekends only during this month. Park grounds and trails open daily during daylight hours",20,24,128,"April: Gallatin House is open weekends only, but the park grounds and trails are open daily during daylight hours."
FRHI,Friendship Hill NHS,2017-03-01,The Gallatin House is still in winter hours - open Saturday and sunday only through the month of march.,2017,March,3,"Comment for March:
The Gallatin House is still in winter hours - open Saturday and sunday only through the month of march.",22,25,122,March: Gallatin House is closed except for Saturdays and Sundays.
FRHI,Friendship Hill NHS,2023-01-01,Gallatin House open weekends only during this reporting period. Grounds and trails open daily during daylight hours,2023,January,1,"Comment for January:
Gallatin House open weekends only during this reporting period. Grounds and trails open daily during daylight hours",20,25,136,January: Gallatin House open weekends only.
FRHI,Friendship Hill NHS,2023-11-01,Gallatin House open weekends only during this month. Park grounds and trails open daily sunrise to sunset.,2023,November,11,"Comment for November:
Gallatin House open weekends only during this month. Park grounds and trails open daily sunrise to sunset.",20,25,128,"November: Gallatin House is open weekends only, while park grounds and trails are open daily from sunrise to sunset."
FRHI,Friendship Hill NHS,2023-12-01,Gallatin House open weekends only during this month. Park grounds and trails open daily from sunrise to sunset.,2023,December,12,"Comment for December:
Gallatin House open weekends only during this month. Park grounds and trails open daily from sunrise to sunset.",21,26,133,"December: Gallatin House is open weekends only, but no other closures reported."
FRHI,Friendship Hill NHS,2023-02-01,Gallatin House open weekends only during this reporting period. Grounds and trails remain open daily during daylight hours.,2023,February,2,"Comment for February:
Gallatin House open weekends only during this reporting period. Grounds and trails remain open daily during daylight hours.",21,27,145,"February: Gallatin House is open weekends only, but no other closures were reported."
FRHI,Friendship Hill NHS,2023-10-01,Gallatin House open weekends only during this reporting period. Park grounds and trails remained open daily during daylight hours.,2023,October,10,"Comment for October:
Gallatin House open weekends only during this reporting period. Park grounds and trails remained open daily during daylight hours.",22,27,151,"October: Gallatin House was reported as open weekends only, but no other closures were mentioned."
FRHI,Friendship Hill NHS,2009-03-01,This is our last month of winter hours. The Gallatin House was closed 22 days and open 9 days.,2009,March,3,"Comment for March:
This is our last month of winter hours. The Gallatin House was closed 22 days and open 9 days.",22,28,113,March: Gallatin House was closed for 22 days.
FRHI,Friendship Hill NHS,2017-12-01,"Besides being on our winter schedule of open weekends only, the holidays and extreme cold and ice kept visitors away from the park.",2017,December,12,"Comment for December:
Besides being on our winter schedule of open weekends only, the holidays and extreme cold and ice kept visitors away from the park.",26,29,153,December: No Closures.
FRHI,Friendship Hill NHS,2009-02-01,		The Gallatin House was open 9 days in February.  The Gallatin House was closed 19 days. 		,2009,February,2,"Comment for February:
		The Gallatin House was open 9 days in February.  The Gallatin House was closed 19 days. 		",19,29,114,February: Gallatin House was closed for 19 days.
FRHI,Friendship Hill NHS,2017-04-01,"April begins our summer season with the Gallatin House being open seven days a week, increasing our visitation numbers and programs given.",2017,April,4,"Comment for April:
April begins our summer season with the Gallatin House being open seven days a week, increasing our visitation numbers and programs given.",25,30,157,April: No Closures.
FRHI,Friendship Hill NHS,2023-05-01,Gallatin House open daily from 9am to 5pm during this month. Grounds and trails open during daylight hours.,2023,May,5,"Comment for May:
Gallatin House open daily from 9am to 5pm during this month. Grounds and trails open during daylight hours.",21,31,124,May: No Closures.
FRHI,Friendship Hill NHS,2023-06-01,Gallatin House closed Wednesday June 21 due to entrance road paving project. Special evening hike for Fayette County Healthy Steps program held this month.,2023,June,6,"Comment for June:
Gallatin House closed Wednesday June 21 due to entrance road paving project. Special evening hike for Fayette County Healthy Steps program held this month.",27,33,173,"June: Gallatin House was closed on Wednesday, June 21 due to an entrance road paving project."
FRHI,Friendship Hill NHS,2009-01-01,"Due to winter hours of operation and federal holidays, the Gallatin Housae was open 10 days in January and closed for 21 days.",2009,January,1,"Comment for January:
Due to winter hours of operation and federal holidays, the Gallatin Housae was open 10 days in January and closed for 21 days.",26,34,147,January: Gallatin House was closed for 21 days due to winter hours of operation and federal holidays.
FRHI,Friendship Hill NHS,2017-09-01,"Our 35th Annual FestiFall celebration was held on the 23rd & 24th of this month, hence the very large numbers in some categories.",2017,September,9,"Comment for September:
Our 35th Annual FestiFall celebration was held on the 23rd & 24th of this month, hence the very large numbers in some categories.",26,37,152,September: No Closures.
FRHI,Friendship Hill NHS,2023-03-01,Gallatin house open weekends only during this reporting period. Gallatin House was closed Saturday March 4 due to power outage. Park grounds and trails remain open daily during daylight hours.,2023,March,3,"Comment for March:
Gallatin house open weekends only during this reporting period. Gallatin House was closed Saturday March 4 due to power outage. Park grounds and trails remain open daily during daylight hours.",33,41,211,"March: Gallatin House open weekends only, closed on Saturday March 4 due to power outage."
FRHI,Friendship Hill NHS,2009-09-01,This month we held our 29th annual FestiFall celebration.  Rain and damp weather curtailed the numbver of visitors to about half that is normal for this event.,2009,September,9,"Comment for September:
This month we held our 29th annual FestiFall celebration.  Rain and damp weather curtailed the numbver of visitors to about half that is normal for this event.",30,41,182,September: No Closures.
FRHI,Friendship Hill NHS,2009-07-01,"		Friendship Hill was host to a new special event, The Native American Living History Celebration on July 11 and July 12.  Which accounted for an increase in visitation of a little over 1700 people. 		",2009,July,7,"Comment for July:
		Friendship Hill was host to a new special event, The Native American Living History Celebration on July 11 and July 12.  Which accounted for an increase in visitation of a little over 1700 people. 		",37,51,219,July: No Closures.
FRHI,Friendship Hill NHS,2009-12-01,"Due to winter hours, the Gallatin House at Friendship Hill was open only 8 days in December and closed 23 days.  The park grounds remain open 7 days a week for recreational visitors hence the big trail use number.",2009,December,12,"Comment for December:
Due to winter hours, the Gallatin House at Friendship Hill was open only 8 days in December and closed 23 days.  The park grounds remain open 7 days a week for recreational visitors hence the big trail use number.",42,51,235,December: Gallatin House at Friendship Hill was closed for 23 days due to winter hours.
FRHI,Friendship Hill NHS,2017-10-01,"October begins our winter season in which the Gallatin House goes to only Saturdays and Sundays open.  the grounds stay open all year round, hence the big trail number.  Our winter season will end on April 30, 2018.",2017,October,10,"Comment for October:
October begins our winter season in which the Gallatin House goes to only Saturdays and Sundays open.  the grounds stay open all year round, hence the big trail number.  Our winter season will end on April 30, 2018.",41,53,236,"October: Gallatin House is closed on weekdays during the winter season, with only Saturdays and Sundays open."
FRHI,Friendship Hill NHS,2009-04-01,"Gallatin House closed for 3 days at the beginning of the month because still on winter hours.  Summer hours began April 4, and will continue until November 1, 2009.  The Gallatin House is now open daily.",2009,April,4,"Comment for April:
Gallatin House closed for 3 days at the beginning of the month because still on winter hours.  Summer hours began April 4, and will continue until November 1, 2009.  The Gallatin House is now open daily.",39,55,222,"April: Gallatin House was closed for 3 days at the beginning of the month due to still being on winter hours, but is now open daily with summer hours."
PERL,Pearl Harbor NMEM,2006-11-01,Closed on Thanksgiving.,2006,November,11,"Comment for November:
Closed on Thanksgiving.",6,8,45,November: Closed on Thanksgiving.
PERL,Pearl Harbor NMEM,2006-01-01,Closed on New Years Day,2006,January,1,"Comment for January:
Closed on New Years Day",8,9,44,January: No Closures.
PERL,Pearl Harbor NMEM,2009-01-01,The memorial was closed in observance of New Years Day.,2009,January,1,"Comment for January:
The memorial was closed in observance of New Years Day.",13,16,76,January: Memorial was closed on New Years Day.
PERL,Pearl Harbor NMEM,2009-08-01,Aug 11: TS Felicia affects park for a few days.,2009,August,8,"Comment for August:
Aug 11: TS Felicia affects park for a few days.",13,18,67,August: No Closures.
PERL,Pearl Harbor NMEM,2009-07-01,"Jul 3: Tule Lake Unit dedicated in Newell, CA. Co-managed with Fish & Wildlife Service.",2009,July,7,"Comment for July:
Jul 3: Tule Lake Unit dedicated in Newell, CA. Co-managed with Fish & Wildlife Service.",18,28,105,July: No Closures.
PERL,Pearl Harbor NMEM,2009-03-01,"The memorial visitor center was closed on March 14 due to significant precipitation, which caused an unsafe environment and brief power outages.",2009,March,3,"Comment for March:
The memorial visitor center was closed on March 14 due to significant precipitation, which caused an unsafe environment and brief power outages.",25,30,163,March: Memorial visitor center was closed on March 14 due to significant precipitation.
PERL,Pearl Harbor NMEM,2006-10-01,"6.7 earthquake on October 15, caused power outage state wide. Visitor Center did not open and remained closed until the next day. ",2006,October,10,"Comment for October:
6.7 earthquake on October 15, caused power outage state wide. Visitor Center did not open and remained closed until the next day. ",25,33,151,October: Visitor Center was closed on October 15 due to a statewide power outage caused by a 6.7 earthquake.
PERL,Pearl Harbor NMEM,2006-03-01,March 19 the visitor center closed down due to extreme weather conditions. Last program began at 9 am by 11:30 visitors were gone and center was closed. ,2006,March,3,"Comment for March:
March 19 the visitor center closed down due to extreme weather conditions. Last program began at 9 am by 11:30 visitors were gone and center was closed. ",30,39,172,March: Visitor center closed on March 19 due to extreme weather conditions.
PERL,Pearl Harbor NMEM,2006-12-01,"Park closed on December 25. December 7, due to Pearl Harbor Day Ceremony, only 16 programs. The Ceremony was held at Pearl Harbor Kilo pier attended by almost 6000 people.  ",2006,December,12,"Comment for December:
Park closed on December 25. December 7, due to Pearl Harbor Day Ceremony, only 16 programs. The Ceremony was held at Pearl Harbor Kilo pier attended by almost 6000 people.  ",33,46,195,December: Park closed on December 25 for the holiday.
PERL,Pearl Harbor NMEM,2021-12-01,"Visitation data reflects Pearl Harbor Commemoration Ceremonies which include virtual/online attendees for the 07 Dec Main Ceremony, Virtual USS Utah Live Dive program, three live virtual programs, and one virtual education program.",2021,December,12,"Comment for December:
Visitation data reflects Pearl Harbor Commemoration Ceremonies which include virtual/online attendees for the 07 Dec Main Ceremony, Virtual USS Utah Live Dive program, three live virtual programs, and one virtual education program.",35,48,253,December: No Closures.
PERL,Pearl Harbor NMEM,2021-01-01,"Park closure on March 17, 2020 upon CDC recommendation.    Governor ordered stay at home quarantine and no movements for all residents and nonessential workers until end of April.  Extended until end of May.  Extended until end of June. (Limited re-opening for services, retail businesses, and dining establishments in earlier part of the month.)  Visitor Center partial opening due to Governor's order allowing for limited access to tourist sites on June 19, 2020.  No movies shown and US Navy has not authorized boat trips to the Memorial.  Limited boat trips authorized by US Navy starting July 10, 2020.  Governor ordered stay at home quarantine and no movements for all Oahu residents and nonessential workers on August 27, 2020 for at least two weeks leading to park closure.  Visitor Center partial opening due to Governor's order allowing for limited access to tourist sites on September 28, 2020 with restriction of crowds of up to five related people.  No movies shown.  Limited boat trips authorized by US Navy up to 1/3 passenger capacity.  Governor authorizes pre-Mainland testing to break two week quarantine on October 15, 2020 if negative results proven. More people not required to quarantine upon arrival and are going out more.",2021,January,1,"Comment for January:
Park closure on March 17, 2020 upon CDC recommendation.    Governor ordered stay at home quarantine and no movements for all residents and nonessential workers until end of April.  Extended until end of May.  Extended until end of June. (Limited re-opening for services, retail businesses, and dining establishments in earlier part of the month.)  Visitor Center partial opening due to Governor's order allowing for limited access to tourist sites on June 19, 2020.  No movies shown and US Navy has not authorized boat trips to the Memorial.  Limited boat trips authorized by US Navy starting July 10, 2020.  Governor ordered stay at home quarantine and no movements for all Oahu residents and nonessential workers on August 27, 2020 for at least two weeks leading to park closure.  Visitor Center partial opening due to Governor's order allowing for limited access to tourist sites on September 28, 2020 with restriction of crowds of up to five related people.  No movies shown.  Limited boat trips authorized by US Navy up to 1/3 passenger capacity.  Governor authorizes pre-Mainland testing to break two week quarantine on October 15, 2020 if negative results proven. More people not required to quarantine upon arrival and are going out more.",203,269,1267,January: No Closures.
CAGR,Casa Grande Ruins NM,2016-11-01,Included attendance for our American Indian Arts Fest,2016,November,11,"Comment for November:
Included attendance for our American Indian Arts Fest",11,12,75,November: No Closures.
CAGR,Casa Grande Ruins NM,2007-11-01,Monument is now closed on Thanksgiving day.,2007,November,11,"Comment for November:
Monument is now closed on Thanksgiving day.",10,13,65,November: Monument is closed on Thanksgiving day.
CAGR,Casa Grande Ruins NM,2007-12-01,Park was closed on Dec. 25 (Christmas Day).,2007,December,12,"Comment for December:
Park was closed on Dec. 25 (Christmas Day).",11,16,65,December: Park was closed on Dec. 25 for Christmas Day.
CAGR,Casa Grande Ruins NM,2020-09-01,The visitor center is not open at this time.  No visitors are entering the visitor center until October 6,2020,September,9,"Comment for September:
The visitor center is not open at this time.  No visitors are entering the visitor center until October 6",22,26,128,September: Visitor center closed until October 6.
CAGR,Casa Grande Ruins NM,2020-10-01,The visitor center bookstore is now open during our regular hours of operation.  Park use is not available when the VC is closed.,2020,October,10,"Comment for October:
The visitor center bookstore is now open during our regular hours of operation.  Park use is not available when the VC is closed.",26,30,150,October: No Closures.
CAGR,Casa Grande Ruins NM,2020-03-01,As of 3/17/2020 Casa Grande Ruins National Monument closed down completely due to the COVID-19 outbreak.  We have had no visitation and are still closed until further notice,2020,March,3,"Comment for March:
As of 3/17/2020 Casa Grande Ruins National Monument closed down completely due to the COVID-19 outbreak.  We have had no visitation and are still closed until further notice",31,44,192,"March: Casa Grande Ruins National Monument is closed completely due to the COVID-19 outbreak, with no visitation allowed until further notice."
CAGR,Casa Grande Ruins NM,2007-07-01,"		Due to an HVAC system failure the Visitor Center at Casa Grande Ruins National Monument was closed on July 15 for the whole day, also closed on 7-21 until 12:00 PM and 7-22 again the whole day. Fees were not collected and therefore visitor stats not collected. Staff made educated estimates from last years records and the visitation they saw on those days. 		",2007,July,7,"Comment for July:
		Due to an HVAC system failure the Visitor Center at Casa Grande Ruins National Monument was closed on July 15 for the whole day, also closed on 7-21 until 12:00 PM and 7-22 again the whole day. Fees were not collected and therefore visitor stats not collected. Staff made educated estimates from last years records and the visitation they saw on those days. 		",66,86,380,"July: Casa Grande Ruins National Monument Visitor Center was closed on July 15 for the whole day, as well as on July 21 until 12:00 PM and July 22 for the whole day due to an HVAC system failure."
CAGR,Casa Grande Ruins NM,2007-08-01,"		A microburst hit the park and City of Coolidge on the evening of August 29 downing power lines along the park boundary and entrance road. The park was closed to the public through Friday due to downed electric lines, repair work, and equipment blocking the entrance to the park. NPS staff worked with electricity providers to repair poles on the park boundary and reestablish service to the community of Coolidge.  http://home.nps.gov/applications/digest/headline.cfm?type=Incidents&id=3480 		 		",2007,August,8,"Comment for August:
		A microburst hit the park and City of Coolidge on the evening of August 29 downing power lines along the park boundary and entrance road. The park was closed to the public through Friday due to downed electric lines, repair work, and equipment blocking the entrance to the park. NPS staff worked with electricity providers to repair poles on the park boundary and reestablish service to the community of Coolidge.  http://home.nps.gov/applications/digest/headline.cfm?type=Incidents&id=3480 		 		",74,114,518,August: The park was closed to the public through Friday due to downed power lines along the park boundary and entrance road caused by a microburst.
FODO,Fort Donelson NB,2012-03-01,Additional 150th Anniversary programming this month.,2012,March,3,"Comment for March:
Additional 150th Anniversary programming this month.",9,13,71,March: No Closures.
FODO,Fort Donelson NB,2012-05-01,Memorial Day events.  All counters working.,2012,May,5,"Comment for May:
Memorial Day events.  All counters working.",9,14,60,May: No Closures.
FODO,Fort Donelson NB,2017-04-01,The counter breaker blew.  Reset on 4-12,2017,April,4,"Comment for April:
The counter breaker blew.  Reset on 4-12",10,16,59,April: No Closures.
FODO,Fort Donelson NB,2011-12-01,"Visitor center closed Sunday, December 25.  No weather closures.",2011,December,12,"Comment for December:
Visitor center closed Sunday, December 25.  No weather closures.",12,18,86,"December: Visitor center closed on Sunday, December 25."
FODO,Fort Donelson NB,2012-01-01,"Visitor center closed New Years Day, January 1, 2012. Gates left open.",2012,January,1,"Comment for January:
Visitor center closed New Years Day, January 1, 2012. Gates left open.",15,23,91,January: Visitor center closed on New Year's Day.
FODO,Fort Donelson NB,2011-11-01,Visitor Center closed Thanksgiving Day; gates left open. Estimated Dover Hotel count included in visitor count.,2011,November,11,"Comment for November:
Visitor Center closed Thanksgiving Day; gates left open. Estimated Dover Hotel count included in visitor count.",19,23,133,November: Visitor Center closed on Thanksgiving Day.
FODO,Fort Donelson NB,2012-11-01,Visitor center closed on Thanksgiving day; gates remained open and LE patrol on 8-4:30.,2012,November,11,"Comment for November:
Visitor center closed on Thanksgiving day; gates remained open and LE patrol on 8-4:30.",17,25,109,November: Visitor center closed on Thanksgiving day.
FODO,Fort Donelson NB,2011-08-01,At least three days with excessive heat warnings. Limited access to National Cemetery Road for two days in mid August during a sealing and striping project.,2011,August,8,"Comment for August:
At least three days with excessive heat warnings. Limited access to National Cemetery Road for two days in mid August during a sealing and striping project.",29,33,176,August: National Cemetery Road was closed for two days in mid-August due to a sealing and striping project.
FODO,Fort Donelson NB,2011-10-01,Part of tour road closed October 5; hazardous tree cordoned off at Stop 3. Main tour road closed October 6 until 2PM for tree removal.  ,2011,October,10,"Comment for October:
Part of tour road closed October 5; hazardous tree cordoned off at Stop 3. Main tour road closed October 6 until 2PM for tree removal.  ",28,39,157,October: Main tour road closed on October 6 until 2PM for tree removal.
FODO,Fort Donelson NB,2017-09-01,Batteries at the VC counter were not working.  Total was estimated.  Visitor Center operations continue at the Stewart County Visitor Center.  Two Riverboat tours were cancelled.,2017,September,9,"Comment for September:
Batteries at the VC counter were not working.  Total was estimated.  Visitor Center operations continue at the Stewart County Visitor Center.  Two Riverboat tours were cancelled.",29,40,201,September: No Closures.
FODO,Fort Donelson NB,2011-07-01,"Excessive heat warnings were issued by the National Weather Service for at least seven days this month. Park is offering new daily programs at the River Batteries, the National Cemetery and the Dover Hotel. ",2011,July,7,"Comment for July:
Excessive heat warnings were issued by the National Weather Service for at least seven days this month. Park is offering new daily programs at the River Batteries, the National Cemetery and the Dover Hotel. ",37,44,225,July: No Closures.
FODO,Fort Donelson NB,2012-02-01,"February, 2012, marked the 150th anniversary of the 1862 Battle of Fort Donelson. Special events were held throughout the month as part of this Sesquicentennial event.",2012,February,2,"Comment for February:
February, 2012, marked the 150th anniversary of the 1862 Battle of Fort Donelson. Special events were held throughout the month as part of this Sesquicentennial event.",29,45,189,February: No Closures.
FODO,Fort Donelson NB,2017-03-01,The batteries in the car counters were changed mid month due to them no longer recording.  It is unknown how many days the car counter was out of service so the count at the National Cemetery and HWY 18 were estimated.,2017,March,3,"Comment for March:
The batteries in the car counters were changed mid month due to them no longer recording.  It is unknown how many days the car counter was out of service so the count at the National Cemetery and HWY 18 were estimated.",44,50,237,March: No Closures.
FODO,Fort Donelson NB,2017-11-01,"One riverboat tour bus given this month.  Visitor services provided at the Stewart County Visitor Center.  150th Anniversary of the National Cemetery.  Special luminary and flag lowering event held on November 11, Veterans Day.",2017,November,11,"Comment for November:
One riverboat tour bus given this month.  Visitor services provided at the Stewart County Visitor Center.  150th Anniversary of the National Cemetery.  Special luminary and flag lowering event held on November 11, Veterans Day.",37,51,249,November: No Closures.
FODO,Fort Donelson NB,2011-04-01,"Special event...Five Rivers Envirothon on April 7.  During the third and fourth week of April strong storms moved through the county, leading to several fallen trees, necessitating the closure of the main park road at least twice.",2011,April,4,"Comment for April:
Special event...Five Rivers Envirothon on April 7.  During the third and fourth week of April strong storms moved through the county, leading to several fallen trees, necessitating the closure of the main park road at least twice.",40,52,249,April: Main park road was closed at least twice due to fallen trees caused by strong storms.
FODO,Fort Donelson NB,2017-10-01,A new counter was installed at the main entrance.  The other two locations will have new counters by the end of November.  Visitor Services are still at the SCVC.    Three Riverboat with 3-4 tour boats each visited the park.,2017,October,10,"Comment for October:
A new counter was installed at the main entrance.  The other two locations will have new counters by the end of November.  Visitor Services are still at the SCVC.    Three Riverboat with 3-4 tour boats each visited the park.",42,55,245,October: No Closures.
FODO,Fort Donelson NB,2011-06-01,"Higher than normal temperatures earlier in the month. Much interest in the fledgling eaglets. New interpretive programs being offered, many in the evening. Fuel started at the beginning of the month at @3.69, ended the month in town at $3.33.",2011,June,6,"Comment for June:
Higher than normal temperatures earlier in the month. Much interest in the fledgling eaglets. New interpretive programs being offered, many in the evening. Fuel started at the beginning of the month at @3.69, ended the month in town at $3.33.",43,60,260,June: No Closures.
FODO,Fort Donelson NB,2017-08-01,Visitor services continue at the Stewart County Visitor Center.  2017 Eclipse Across America on August 21st brought visitors to the VC in the days leading up to the eclipse to pick up eclipse glasses and caused a great increase in visitation at the VC and the VC car counter.,2017,August,8,"Comment for August:
Visitor services continue at the Stewart County Visitor Center.  2017 Eclipse Across America on August 21st brought visitors to the VC in the days leading up to the eclipse to pick up eclipse glasses and caused a great increase in visitation at the VC and the VC car counter.",52,61,295,August: No Closures.
FODO,Fort Donelson NB,2017-07-01,"Interp. staff still quartered at National Cemetery, increased traffic there.  FODO VC closed for renovation...process began in late June 2016.  Visitor services provided at the Stewart County Visitor Center.  Number of Visitors at the Visitor Center is impacted due to the temporary location.",2017,July,7,"Comment for July:
Interp. staff still quartered at National Cemetery, increased traffic there.  FODO VC closed for renovation...process began in late June 2016.  Visitor services provided at the Stewart County Visitor Center.  Number of Visitors at the Visitor Center is impacted due to the temporary location.",46,63,310,"July: FODO VC is closed for renovation, with visitor services provided at the Stewart County Visitor Center."
FODO,Fort Donelson NB,2011-02-01,"149th Anniversary month. Dover Hotel exhibits debuted the weekend of February 6/7. Visitor counts for the Hotel are included in the Visitor Center counts. Three encampments, first three weekend of the month. Three temporary closures of Fort Donelson Road and Graves Battery Road due to ice and snow.",2011,February,2,"Comment for February:
149th Anniversary month. Dover Hotel exhibits debuted the weekend of February 6/7. Visitor counts for the Hotel are included in the Visitor Center counts. Three encampments, first three weekend of the month. Three temporary closures of Fort Donelson Road and Graves Battery Road due to ice and snow.",51,65,321,"February: Fort Donelson Road and Graves Battery Road experienced temporary closures due to ice and snow, but no specific locations were reported as closed for the entire month."
FODO,Fort Donelson NB,2017-06-01,Fort Donelson Visitor Center is still closed.  Temporary operations are at the Stewart County Visitor Center.  We will continue operating out of the Stewart County building while ours in under construction.  No end date at this time.  Interpretation staff still have their offices at the National Cemetery.    Interest in our Bald Eagles have brought more cars on the main road.,2017,June,6,"Comment for June:
Fort Donelson Visitor Center is still closed.  Temporary operations are at the Stewart County Visitor Center.  We will continue operating out of the Stewart County building while ours in under construction.  No end date at this time.  Interpretation staff still have their offices at the National Cemetery.    Interest in our Bald Eagles have brought more cars on the main road.",63,77,396,"June: Fort Donelson Visitor Center is closed with operations temporarily moved to Stewart County Visitor Center due to construction, with no specified end date."
FODO,Fort Donelson NB,2011-05-01,"Added estimated contacts from the Dover Hotel, where an exhibit room is open on a self guided basis daily from 8:15AM to 4:00 PM. Estimate based on signatures in guest book and physical counts made when staffed. Traffic counter from main gate taken from May, 2010, entry. Battery at this gate died during the month at some point. Historical note...gas spiked at $3.99 in Dover, Tennessee.",2011,May,5,"Comment for May:
Added estimated contacts from the Dover Hotel, where an exhibit room is open on a self guided basis daily from 8:15AM to 4:00 PM. Estimate based on signatures in guest book and physical counts made when staffed. Traffic counter from main gate taken from May, 2010, entry. Battery at this gate died during the month at some point. Historical note...gas spiked at $3.99 in Dover, Tennessee.",69,94,405,May: No Closures.
